Service,CostCentre,Spend Type,Amount
Finance Service,Local Management of Schools Team,Supplies and Services,620.0
Finance Service,Local Management of Schools Team,Support Service Recharges Expenditure,4040.0
Finance Service,Income,Employee Costs,26050.0
Finance Service,Income,Employee Costs,199974.0
Finance Service,Income,Supplies and Services,17230.0
Finance Service,Income,Support Service Recharges Expenditure,33080.0
Finance Service,Business Support,Employee Costs,641030.0
Finance Service,Business Support,Employee Costs,4085348.0
Finance Service,Business Support,Employee Related,90.0
Finance Service,Business Support,Transport Related,100.0
Finance Service,Business Support,Supplies and Services,160682.0
Finance Service,Business Support,Support Service Recharges Expenditure,23570.0
Finance Service,Transformation,Employee Costs,184390.0
Finance Service,Transformation,Employee Costs,1048137.0
Finance Service,Transformation,Employee Related,1680.0
Finance Service,Transformation,Transport Related,3960.0
Finance Service,Transformation,Transport Related,330.0
Finance Service,Transformation,Supplies and Services,21183.0
Finance Service,Transformation,Support Service Recharges Expenditure,3030.0
Finance Service,Transformation,Depreciation Charges and Revenue contribution to Capital,1530.0
Finance Service,Council Tax,Employee Costs,83800.0
Finance Service,Council Tax,Employee Costs,516827.0
Finance Service,Council Tax,Transport Related,4600.0
Finance Service,Council Tax,Supplies and Services,421500.0
Finance Service,Council Tax,Supplies and Services,78520.0
Finance Service,Council Tax,Support Service Recharges Expenditure,395170.0
Finance Service,NNDR,Employee Costs,22510.0
Finance Service,NNDR,Employee Costs,151568.0
Finance Service,NNDR,Supplies and Services,38530.0
Finance Service,NNDR,Supplies and Services,8200.0
Finance Service,NNDR,Support Service Recharges Expenditure,213290.0
Finance Service,Adult Health and Social Care Support,Employee Costs,17070.0
Finance Service,Adult Health and Social Care Support,Employee Costs,105821.0
Finance Service,Adult Health and Social Care Support,Supplies and Services,40.0
Finance Service,Adult Health and Social Care Support,Support Service Recharges Expenditure,151410.0
Finance Service,Children and Young People Support,Employee Costs,39700.0
Finance Service,Children and Young People Support,Employee Costs,253389.0
Finance Service,Children and Young People Support,Transport Related,1410.0
Finance Service,Children and Young People Support,Supplies and Services,30.0
Finance Service,Children and Young People Support,Support Service Recharges Expenditure,87440.0
Finance Service,Regeneration and Strategy Support,Employee Costs,33240.0
Finance Service,Regeneration and Strategy Support,Employee Costs,214115.0
Finance Service,Regeneration and Strategy Support,Support Service Recharges Expenditure,184860.0
Finance Service,Public Services Support,Employee Costs,29470.0
Finance Service,Public Services Support,Employee Costs,188768.0
Finance Service,Public Services Support,Support Service Recharges Expenditure,106150.0
Executives Management,Chief Executives Office,Employee Costs,29010.0
Executives Management,Chief Executives Office,Employee Costs,210080.0
Executives Management,Chief Executives Office,Employee Related,410.0
Executives Management,Chief Executives Office,Premise Related,120.0
Executives Management,Chief Executives Office,Transport Related,1860.0
Executives Management,Chief Executives Office,Supplies and Services,2580.0
Executives Management,Chief Executives Office,Large Contract Areas,21125.0
Executives Management,Chief Executives Office,Support Service Recharges Expenditure,95260.0
Executives Management,Printing,Employee Costs,17210.0
Executives Management,Printing,Employee Costs,106675.0
Executives Management,Printing,Supplies and Services,133550.0
Executives Management,Printing,Support Service Recharges Expenditure,26920.0
Executives Management,Communications,Employee Costs,62070.0
Executives Management,Communications,Employee Costs,471960.0
Executives Management,Communications,Employee Related,100.0
Executives Management,Communications,Transport Related,100.0
Executives Management,Communications,Supplies and Services,126512.0
Executives Management,Communications,Support Service Recharges Expenditure,64510.0
ICT Services,Information Technology,Employee Costs,423400.0
ICT Services,Information Technology,Employee Costs,3021622.0
ICT Services,Information Technology,Employee Related,7465.0
ICT Services,Information Technology,Premise Related,4910.0
ICT Services,Information Technology,Transport Related,8190.0
ICT Services,Information Technology,Supplies and Services,34174.0
ICT Services,Information Technology,Support Service Recharges Expenditure,740900.0
ICT Services,Information Technology,Depreciation Charges and Revenue contribution to Capital,180960.0
ICT Services,IT - Combined Contracts,Supplies and Services,1525360.0
ICT Services,IT - Combined Contracts,Large Contract Areas,1000.0
ICT Services,Communication Infastructure,Supplies and Services,4810.0
ICT Services,Communication Infastructure,Support Service Recharges Income,45190.0
Finance Controls,Other Operating Expenditure,Supplies and Services,2384660.0
Finance Controls,Other Operating Expenditure,Large Contract Areas,8867750.0
Finance Controls,Other Operating Expenditure,Transfer Payments,760579.0
Other Services,Council Wide Corporate Management Costs,Support Service Recharges Expenditure,3973110.0
Other Services,Payment To Joint Authorities,Large Contract Areas,750980.0
Other Services,Payment To Joint Authorities,Support Service Recharges Expenditure,430.0
Other Services,Council wide Finance/ Other Costs,Supplies and Services,244970.0
Other Services,Council wide Finance/ Other Costs,Supplies and Services,13047120.0
Other Services,Council wide Finance/ Other Costs,Support Service Recharges Expenditure,4260.0
Other Services,Council wide Finance/ Other Costs,Depreciation Charges and Revenue contribution to Capital,9190.0
Other Services,Members Services,Employee Costs,6420.0
Other Services,Members Services,Employee Costs,141130.0
Other Services,Members Services,Employee Related,3510.0
Other Services,Members Services,Transport Related,4500.0
Other Services,Members Services,Supplies and Services,762510.0
Other Services,Members Services,Support Service Recharges Expenditure,40410.0
Loans,Loan Interest,Employee Costs,4308698.0
Loans,Loans-Debt Management,Premise Related,2000.0
Loans,Loans-Debt Management,Supplies and Services,18000.0
Loans,Loans-Debt Management,Transfer Payments,5000.0
Loans,Loans-Debt Management,Support Service Recharges Expenditure,83040.0
Loans,Invest to Save - Prudential Borrowing,Employee Related,1996390.0
Loans,Invest to Save - Prudential Borrowing,Premise Related,1643290.0
Loans,Invest to Save - Prudential Borrowing,Transport Related,74966.0
Loans,Invest to Save - Prudential Borrowing,Supplies and Services,1578814.0
Integrated commissioning - children's,Integrated Commisioning,Employee Costs,201480.0
Integrated commissioning - children's,Integrated Commisioning,Employee Costs,1406610.0
Integrated commissioning - children's,Integrated Commisioning,Employee Related,1820.0
Integrated commissioning - children's,Integrated Commisioning,Premise Related,980.0
Integrated commissioning - children's,Integrated Commisioning,Transport Related,4040.0
Integrated commissioning - children's,Integrated Commisioning,Supplies and Services,4720.0
Integrated commissioning - children's,Transformation Plan - grant funding,Large Contract Areas,459776.0
Integrated commissioning - children's,Domestic Abuse,Large Contract Areas,235640.0
Integrated commissioning - children's,CYP Commissioned Services,Supplies and Services,234938.0
Integrated commissioning - children's,CYP Commissioned Services,Large Contract Areas,4757143.0
Integrated commissioning - children's,CYP Commissioned Services,Depreciation Charges and Revenue contribution to Capital,6270.0
Integrated commissioning - children's,Disabled Childrens Team,Employee Costs,62490.0
Integrated commissioning - children's,Disabled Childrens Team,Employee Costs,435635.0
Integrated commissioning - children's,Disabled Childrens Team,Transport Related,13790.0
Integrated commissioning - children's,Disabled Childrens Team,Supplies and Services,53340.0
Integrated commissioning - children's,Disabled Childrens Team,Large Contract Areas,23530.0
Integrated commissioning - children's,Short Breaks,Employee Costs,5880.0
Integrated commissioning - children's,Short Breaks,Employee Costs,40990.0
Integrated commissioning - children's,Short Breaks,Transport Related,200.0
Integrated commissioning - children's,Short Breaks,Supplies and Services,6611.0
Integrated commissioning - children's,Short Breaks,Large Contract Areas,442420.0
Integrated commissioning - children's,Short Breaks,Transfer Payments,420000.0
Integrated commissioning - children's,Childrens Safeguarding Unit,Employee Costs,106040.0
Integrated commissioning - children's,Childrens Safeguarding Unit,Employee Costs,981057.0
Integrated commissioning - children's,Childrens Safeguarding Unit,Employee Related,100.0
Integrated commissioning - children's,Childrens Safeguarding Unit,Premise Related,1000.0
Integrated commissioning - children's,Childrens Safeguarding Unit,Transport Related,8865.0
Integrated commissioning - children's,Childrens Safeguarding Unit,Supplies and Services,6658.0
Integrated commissioning - children's,Childrens Safeguarding Unit,Large Contract Areas,3080.0
Public Health,Public Health Staffing costs,Employee Costs,878700.0
Public Health,Public Health Staffing costs,Supplies and Services,487326.0
Public Health,Public Health Staffing costs,Support Service Recharges Expenditure,207580.0
Public Health,Public Health Staffing costs,Internal Recharge Expenditure,80800.0
Public Health,Substance Misuse,Large Contract Areas,3000460.0
Public Health,Sexual Health,Large Contract Areas,1559650.0
Public Health,Obesity,Supplies and Services,178010.0
Public Health,Obesity,Large Contract Areas,285000.0
Public Health,Smoking & Tobacco,Large Contract Areas,482500.0
Public Health,Other Public Health,Supplies and Services,540000.0
Public Health,Other Public Health,Large Contract Areas,24830.0
Public Health,Other Public Health,Depreciation Charges and Revenue contribution to Capital,3500.0
Public Health,COVID19 - outbreak management,Employee Costs,368564.0
Public Health,COVID19 - outbreak management,Supplies and Services,5780996.0
Public Health,COVID19 - outbreak management,Large Contract Areas,43981.0
Public Health,Staying Well Project,Supplies and Services,215470.0
Public Health,Children / Young People's Public Health (incl 0-5),Supplies and Services,100000.0
Public Health,Children / Young People's Public Health (incl 0-5),Large Contract Areas,4489790.0
Public Health,Active Travel,Employee Costs,13660.0
Public Health,Active Travel,Support Service Recharges Expenditure,9140.0
Public Health,Public Health Intelligence,Large Contract Areas,15000.0
Public Health,Bikeability,Employee Costs,7020.0
Public Health,Bikeability,Employee Costs,70170.0
Public Health,Bikeability,Transport Related,320.0
Public Health,Bikeability,Supplies and Services,6650.0
Public Health,School Crossing Patrols,Support Service Recharges Expenditure,121620.0
Public Health,Contrib to cross Council budget savings,Supplies and Services,1425220.0
Adult Health & Social Care,Heatherstones,Employee Costs,34450.0
Adult Health & Social Care,Heatherstones,Employee Costs,237530.0
Adult Health & Social Care,Heatherstones,Employee Related,250.0
Adult Health & Social Care,Heatherstones,Premise Related,95710.0
Adult Health & Social Care,Heatherstones,Transport Related,210.0
Adult Health & Social Care,Heatherstones,Supplies and Services,85640.0
Adult Health & Social Care,Ferney Lee HOP,Premise Related,65775.0
Adult Health & Social Care,Ferney Lee HOP,Transport Related,330.0
Adult Health & Social Care,Ferney Lee HOP,Depreciation Charges and Revenue contribution to Capital,127600.0
Adult Health & Social Care,Mytholm Meadows Extra Care Scheme,Employee Costs,45740.0
Adult Health & Social Care,Mytholm Meadows Extra Care Scheme,Employee Costs,324310.0
Adult Health & Social Care,Mytholm Meadows Extra Care Scheme,Supplies and Services,3090.0
Adult Health & Social Care,Clement Court Extra Care Scheme,Employee Costs,46840.0
Adult Health & Social Care,Clement Court Extra Care Scheme,Employee Costs,332060.0
Adult Health & Social Care,Clement Court Extra Care Scheme,Transport Related,1020.0
Adult Health & Social Care,Clement Court Extra Care Scheme,Supplies and Services,3270.0
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Employee Costs,6750.0
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Employee Costs,47110.0
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Transport Related,1020.0
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Supplies and Services,168490.0
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Depreciation Charges and Revenue contribution to Capital,19100.0
Adult Health & Social Care,Central Halifax Reablement Teams SIT,Employee Costs,130340.0
Adult Health & Social Care,Central Halifax Reablement Teams SIT,Employee Costs,891850.0
Adult Health & Social Care,Central Halifax Reablement Teams SIT,Transport Related,37650.0
Adult Health & Social Care,Central Halifax Reablement Teams SIT,Supplies and Services,7440.0
Adult Health & Social Care,Lower Valley HC Reablement Teams SIT,Employee Costs,59510.0
Adult Health & Social Care,Lower Valley HC Reablement Teams SIT,Employee Costs,407210.0
Adult Health & Social Care,Lower Valley HC Reablement Teams SIT,Transport Related,15800.0
Adult Health & Social Care,Lower Valley HC Reablement Teams SIT,Supplies and Services,6310.0
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Employee Costs,56800.0
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Employee Costs,388770.0
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Employee Related,100.0
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Transport Related,22580.0
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Supplies and Services,3630.0
Adult Health & Social Care,Support In Mind (Dementia Service),Employee Costs,49670.0
Adult Health & Social Care,Support In Mind (Dementia Service),Employee Costs,339870.0
Adult Health & Social Care,Support In Mind (Dementia Service),Transport Related,23860.0
Adult Health & Social Care,Support In Mind (Dementia Service),Supplies and Services,2710.0
Adult Health & Social Care,Out of Hours Home Care SIT,Employee Costs,59760.0
Adult Health & Social Care,Out of Hours Home Care SIT,Employee Costs,408820.0
Adult Health & Social Care,Out of Hours Home Care SIT,Transport Related,1150.0
Adult Health & Social Care,Out of Hours Home Care SIT,Supplies and Services,5950.0
Adult Health & Social Care,Crisis Intervention Team CIT (prev Rapid Response),Employee Costs,14440.0
Adult Health & Social Care,Crisis Intervention Team CIT (prev Rapid Response),Employee Costs,98640.0
Adult Health & Social Care,Crisis Intervention Team CIT (prev Rapid Response),Transport Related,6470.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Employee Costs,321870.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Employee Costs,2117700.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Employee Related,1350.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Premise Related,53220.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Premise Related,22300.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Transport Related,900.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Transport Related,14640.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Supplies and Services,73240.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Support Service Recharges Expenditure,319650.0
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Depreciation Charges and Revenue contribution to Capital,92230.0
Adult Health & Social Care,Purchased Day Opportunities Learning Disabilities,Large Contract Areas,2140145.0
Adult Health & Social Care,ILST,Employee Costs,40650.0
Adult Health & Social Care,ILST,Employee Costs,279560.0
Adult Health & Social Care,ILST,Employee Related,30.0
Adult Health & Social Care,ILST,Transport Related,13740.0
Adult Health & Social Care,ILST,Supplies and Services,680.0
Adult Health & Social Care,Flutterbites Cafe - LD Day Opportunities,Employee Costs,11440.0
Adult Health & Social Care,Flutterbites Cafe - LD Day Opportunities,Employee Costs,80868.0
Adult Health & Social Care,Flutterbites Cafe - LD Day Opportunities,Premise Related,3370.0
Adult Health & Social Care,Flutterbites Cafe - LD Day Opportunities,Supplies and Services,33772.0
Adult Health & Social Care,Laura Mitchell Centre Cafe,Employee Costs,4670.0
Adult Health & Social Care,Laura Mitchell Centre Cafe,Employee Costs,32220.0
Adult Health & Social Care,Laura Mitchell Centre Cafe,Supplies and Services,15720.0
Adult Health & Social Care,Lyndhurst,Employee Costs,27260.0
Adult Health & Social Care,Lyndhurst,Employee Costs,188790.0
Adult Health & Social Care,Lyndhurst,Premise Related,23880.0
Adult Health & Social Care,Lyndhurst,Supplies and Services,320.0
Adult Health & Social Care,Lyndhurst,Depreciation Charges and Revenue contribution to Capital,19620.0
Adult Health & Social Care,Housing Support Services (Misg),Employee Costs,9800.0
Adult Health & Social Care,Housing Support Services (Misg),Employee Costs,69870.0
Adult Health & Social Care,Housing Support Services (Misg),Premise Related,1920.0
Adult Health & Social Care,Housing Support Services (Misg),Transport Related,1150.0
Adult Health & Social Care,Housing Support Services (Misg),Supplies and Services,17150.0
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Employee Costs,23900.0
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Employee Costs,170210.0
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Employee Related,1100.0
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Premise Related,23960.0
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Transport Related,1000.0
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Transport Related,300.0
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Supplies and Services,20630.0
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Depreciation Charges and Revenue contribution to Capital,30470.0
Adult Health & Social Care,Shared Lives,Employee Costs,16620.0
Adult Health & Social Care,Shared Lives,Employee Costs,115480.0
Adult Health & Social Care,Shared Lives,Transport Related,1610.0
Adult Health & Social Care,Shared Lives,Supplies and Services,6720.0
Adult Health & Social Care,Shared Lives,Large Contract Areas,419790.0
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Employee Costs,66750.0
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Employee Costs,570440.0
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Employee Related,50.0
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Premise Related,50920.0
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Premise Related,8480.0
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Transport Related,450.0
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Supplies and Services,25880.0
Adult Health & Social Care,Higgins Close,Premise Related,11620.0
Adult Health & Social Care,Lower Valley Day Centre,Premise Related,3500.0
Adult Health & Social Care,Royd Square Special Care Unit,Premise Related,2250.0
Housing Services,Housing Service Wide Costs,Supplies and Services,900.0
Housing Services,Housing Service Wide Costs,Support Service Recharges Expenditure,266200.0
Housing Services,Housing Strategy,Employee Costs,10020.0
Housing Services,Housing Strategy,Employee Costs,133810.0
Housing Services,Housing Strategy,Transport Related,240.0
Housing Services,Housing Strategy,Support Service Recharges Expenditure,4700.0
Housing Services,Home Improvement Service,Employee Costs,29220.0
Housing Services,Home Improvement Service,Employee Costs,201260.0
Housing Services,Home Improvement Service,Employee Related,1050.0
Housing Services,Home Improvement Service,Premise Related,2040.0
Housing Services,Home Improvement Service,Premise Related,4540.0
Housing Services,Home Improvement Service,Transport Related,3930.0
Housing Services,Home Improvement Service,Supplies and Services,177013.0
Housing Services,Home Improvement Service,Support Service Recharges Expenditure,14650.0
Housing Services,Acorns Refuge Provision,Employee Costs,41620.0
Housing Services,Acorns Refuge Provision,Employee Costs,281050.0
Housing Services,Acorns Refuge Provision,Premise Related,207820.0
Housing Services,Acorns Refuge Provision,Transport Related,2400.0
Housing Services,Acorns Refuge Provision,Supplies and Services,6110.0
Housing Services,Leasehold Flats,Employee Costs,8430.0
Housing Services,Leasehold Flats,Employee Costs,91870.0
Housing Services,Leasehold Flats,Premise Related,116920.0
Housing Services,Leasehold Flats,Transport Related,1000.0
Housing Services,Leasehold Flats,Supplies and Services,377390.0
Housing Services,Leasehold Flats,Support Service Recharges Expenditure,7130.0
Housing Services,Rough Sleeping Initiative,Employee Costs,35000.0
Housing Services,Rough Sleeping Initiative,Premise Related,10000.0
Housing Services,Rough Sleeping Initiative,Supplies and Services,304180.0
Housing Services,Housing Advice and Homelessness,Employee Costs,30510.0
Housing Services,Housing Advice and Homelessness,Employee Costs,219634.0
Housing Services,Housing Advice and Homelessness,Employee Related,950.0
Housing Services,Housing Advice and Homelessness,Transport Related,420.0
Housing Services,Housing Advice and Homelessness,Supplies and Services,126560.0
Housing Services,Housing Advice and Homelessness,Support Service Recharges Expenditure,19970.0
Housing Services,Environmental Management Team,Employee Costs,9740.0
Housing Services,Environmental Management Team,Employee Costs,118629.0
Housing Services,Environmental Management Team,Employee Related,20.0
Housing Services,Environmental Management Team,Transport Related,870.0
Housing Services,Environmental Management Team,Supplies and Services,45440.0
Housing Services,Environmental Management Team,Support Service Recharges Expenditure,95020.0
Housing Services,Housing Regeneration & Development,Support Service Recharges Expenditure,110.0
Housing Services,Maintenance of Land,Premise Related,520.0
Housing Services,Maintenance of Land,Premise Related,2920.0
Housing Services,Maintenance of Land,Supplies and Services,60.0
Housing Services,Maintenance of Land,Depreciation Charges and Revenue contribution to Capital,920.0
Housing Services,Ryburn House,Employee Costs,45180.0
Housing Services,Ryburn House,Employee Costs,344280.0
Housing Services,Ryburn House,Employee Related,1320.0
Housing Services,Ryburn House,Premise Related,29780.0
Housing Services,Ryburn House,Premise Related,16000.0
Housing Services,Ryburn House,Transport Related,2120.0
Housing Services,Ryburn House,Supplies and Services,13540.0
Housing Services,Ryburn House,Support Service Recharges Expenditure,86030.0
Housing Services,Ryburn House,Depreciation Charges and Revenue contribution to Capital,38560.0
Housing Services,Housing Pipeline,Employee Costs,24830.0
Housing Services,Housing Pipeline,Supplies and Services,26000.0
Housing Services,Housing and Environment Management,Employee Costs,12470.0
Housing Services,Housing and Environment Management,Employee Costs,78219.0
Housing Services,Syrian settlement account,Employee Costs,270.0
Housing Services,Syrian settlement account,Employee Costs,146820.0
Housing Services,Syrian settlement account,Transport Related,2500.0
Housing Services,Syrian settlement account,Supplies and Services,86170.0
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Employee Costs,348890.0
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Employee Costs,1771287.0
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Premise Related,7000.0
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Transport Related,19300.0
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Supplies and Services,111320.0
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Support Service Recharges Expenditure,197980.0
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Depreciation Charges and Revenue contribution to Capital,3140.0
Corporate Asset and Facilities Management,Corporate Projects Team,Employee Costs,115710.0
Corporate Asset and Facilities Management,Corporate Projects Team,Employee Costs,784120.0
Corporate Asset and Facilities Management,Corporate Projects Team,Transport Related,2520.0
Corporate Asset and Facilities Management,Corporate Projects Team,Supplies and Services,11820.0
Corporate Asset and Facilities Management,Corporate Projects Team,Support Service Recharges Expenditure,318320.0
Corporate Asset and Facilities Management,Corporate Projects - CYP Capital Team,Employee Costs,112000.0
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Employee Costs,122760.0
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Employee Costs,1234500.0
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Premise Related,41230.0
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Transport Related,8700.0
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Supplies and Services,11140.0
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Support Service Recharges Expenditure,500580.0
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Depreciation Charges and Revenue contribution to Capital,16290.0
Corporate Asset and Facilities Management,Towngate PC's,Premise Related,500.0
Corporate Asset and Facilities Management,Bridge End PC's,Premise Related,990.0
Corporate Asset and Facilities Management,Townfield Lane PC's,Premise Related,740.0
Corporate Asset and Facilities Management,George Sq PC's,Premise Related,1990.0
Corporate Asset and Facilities Management,Town Hall Sq Public Conv,Premise Related,1780.0
Corporate Asset and Facilities Management,Brook St PC's,Premise Related,2285.0
Corporate Asset and Facilities Management,Luddenden Lane PC's,Premise Related,2060.0
Corporate Asset and Facilities Management,Midgehole PC's,Premise Related,1730.0
Corporate Asset and Facilities Management,New Rd Pc's,Premise Related,3040.0
Corporate Asset and Facilities Management,Brig Royd PC's,Premise Related,1320.0
Corporate Asset and Facilities Management,Thornton Sq PC's,Premise Related,2815.0
Corporate Asset and Facilities Management,Valley Rd PC's,Premise Related,2170.0
Corporate Asset and Facilities Management,Sowerby Bridge PC's,Premise Related,1050.0
Corporate Asset and Facilities Management,Todmorden College,Premise Related,103055.0
Corporate Asset and Facilities Management,Todmorden College,Supplies and Services,1290.0
Corporate Asset and Facilities Management,Todmorden College,Depreciation Charges and Revenue contribution to Capital,359050.0
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Premise Related,186320.0
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Premise Related,2000.0
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Supplies and Services,7500.0
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Support Service Recharges Expenditure,129620.0
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Depreciation Charges and Revenue contribution to Capital,1130.0
Corporate Asset and Facilities Management,Repairs,Premise Related,1781770.0
Corporate Asset and Facilities Management,Miscellaneous CAFM,Premise Related,134730.0
Corporate Asset and Facilities Management,Miscellaneous CAFM,Supplies and Services,75600.0
Corporate Asset and Facilities Management,Miscellaneous CAFM,Transfer Payments,17700.0
Corporate Asset and Facilities Management,Town Hall,Premise Related,90845.0
Corporate Asset and Facilities Management,Town Hall,Supplies and Services,12925.0
Corporate Asset and Facilities Management,Town Hall,Support Service Recharges Expenditure,102060.0
Corporate Asset and Facilities Management,Town Hall,Depreciation Charges and Revenue contribution to Capital,18920.0
Corporate Asset and Facilities Management,Westgate House,Premise Related,366500.0
Corporate Asset and Facilities Management,Westgate House,Premise Related,2700.0
Corporate Asset and Facilities Management,Westgate House,Supplies and Services,7500.0
Corporate Asset and Facilities Management,Westgate House,Support Service Recharges Expenditure,276420.0
Corporate Asset and Facilities Management,Westgate House,Depreciation Charges and Revenue contribution to Capital,62180.0
Corporate Asset and Facilities Management,Princess Buildings,Premise Related,185390.0
Corporate Asset and Facilities Management,Princess Buildings,Supplies and Services,7500.0
Corporate Asset and Facilities Management,Princess Buildings,Support Service Recharges Expenditure,130680.0
Corporate Asset and Facilities Management,Princess Buildings,Depreciation Charges and Revenue contribution to Capital,27630.0
Corporate Asset and Facilities Management,Northgate House,Support Service Recharges Expenditure,105240.0
Corporate Asset and Facilities Management,Northgate House,Depreciation Charges and Revenue contribution to Capital,90.0
Corporate Asset and Facilities Management,Centre at Threeways,Premise Related,80270.0
Corporate Asset and Facilities Management,Centre at Threeways,Premise Related,14000.0
Corporate Asset and Facilities Management,Centre at Threeways,Supplies and Services,1000.0
Corporate Asset and Facilities Management,Centre at Threeways,Support Service Recharges Expenditure,63210.0
Corporate Asset and Facilities Management,Mulcture House,Premise Related,234050.0
Corporate Asset and Facilities Management,Mulcture House,Supplies and Services,7500.0
Corporate Asset and Facilities Management,Mulcture House,Support Service Recharges Expenditure,199300.0
Corporate Asset and Facilities Management,Centre at Threeways excluding CMBC occupied area,Depreciation Charges and Revenue contribution to Capital,8000.0
Corporate Asset and Facilities Management,Investment Properties,Premise Related,800.0
Corporate Asset and Facilities Management,Investment Properties,Supplies and Services,6180.0
Corporate Asset and Facilities Management,Other Properties (Non-Investment),Premise Related,200.0
Corporate Asset and Facilities Management,Other Properties (Non-Investment),Supplies and Services,500.0
Corporate Asset and Facilities Management,Other Properties (Non-Investment),Depreciation Charges and Revenue contribution to Capital,5000.0
Corporate Asset and Facilities Management,Cost of Property Sales,Supplies and Services,23140.0
Corporate Asset and Facilities Management,Southgate Elland,Premise Related,19130.0
Corporate Asset and Facilities Management,Illingworth Rd,Premise Related,500.0
Corporate Asset and Facilities Management,Borough Market shops,Premise Related,1500.0
Corporate Asset and Facilities Management,Towngate 11 -23 Shops,Premise Related,250.0
Highways and Engineering Services,Highways & Engineering Management & Support,Employee Costs,33070.0
Highways and Engineering Services,Highways & Engineering Management & Support,Employee Costs,252470.0
Highways and Engineering Services,Highways & Engineering Management & Support,Transport Related,500.0
Highways and Engineering Services,Highways & Engineering Management & Support,Support Service Recharges Expenditure,501710.0
Highways and Engineering Services,Performance Management,Employee Costs,32090.0
Highways and Engineering Services,Performance Management,Employee Costs,338730.0
Highways and Engineering Services,Performance Management,Employee Related,5000.0
Highways and Engineering Services,Performance Management,Transport Related,1000.0
Highways and Engineering Services,Performance Management,Supplies and Services,157580.0
Highways and Engineering Services,Streetworks,Employee Costs,26760.0
Highways and Engineering Services,Streetworks,Employee Costs,245440.0
Highways and Engineering Services,Streetworks,Transport Related,100.0
Highways and Engineering Services,Streetworks,Supplies and Services,85340.0
Highways and Engineering Services,Streetworks,Support Service Recharges Expenditure,121970.0
Highways and Engineering Services,Traffic,Employee Costs,7100.0
Highways and Engineering Services,Traffic,Employee Costs,330.0
Highways and Engineering Services,Traffic,Transport Related,350.0
Highways and Engineering Services,Traffic,Support Service Recharges Expenditure,87670.0
