Service,CostCentre,Spend Type,Amount
Finance Service,Children and Young People Support,Support Service Recharges Expenditure,87440
Finance Service,Children and Young People Support,Support Service Recharges Income,-381970
Finance Service,Regeneration and Strategy Support,Employee Costs,33240
Finance Service,Regeneration and Strategy Support,Employee Costs,214115
Finance Service,Regeneration and Strategy Support,Support Service Recharges Expenditure,184860
Finance Service,Regeneration and Strategy Support,Support Service Recharges Income,-383690
Finance Service,Regeneration and Strategy Support,"Grants, Contributions, Other Income ",-48520
Finance Service,Public Services Support,Employee Costs,29470
Finance Service,Public Services Support,Employee Costs,188768
Finance Service,Public Services Support,Support Service Recharges Expenditure,106150
Finance Service,Public Services Support,Support Service Recharges Income,-324390
Finance Service,Net Rate Requirement,Appropriations from/to Earmarked Reserves,-147500
Executives Management,Chief Executives Office,Employee Costs,29010
Executives Management,Chief Executives Office,Employee Costs,210080
Executives Management,Chief Executives Office,Employee Related,410
Executives Management,Chief Executives Office,Premise Related,120
Executives Management,Chief Executives Office,Transport Related,1860
Executives Management,Chief Executives Office,Supplies and Services,2580
Executives Management,Chief Executives Office,Large Contract Areas,21125
Executives Management,Chief Executives Office,Support Service Recharges Expenditure,95260
Executives Management,Chief Executives Office,Support Service Recharges Income,-339290
Executives Management,Chief Executives Office,"Grants, Contributions, Other Income ",-21125
Executives Management,Printing,Employee Costs,17210
Executives Management,Printing,Employee Costs,106675
Executives Management,Printing,Supplies and Services,133550
Executives Management,Printing,Support Service Recharges Expenditure,26920
Executives Management,Printing,Support Service Recharges Income,-182960
Executives Management,Printing,"Grants, Contributions, Other Income ",-101400
Executives Management,Communications,Employee Costs,62070
Executives Management,Communications,Employee Costs,471960
Executives Management,Communications,Employee Related,100
Executives Management,Communications,Transport Related,100
Executives Management,Communications,Supplies and Services,126512
Executives Management,Communications,Support Service Recharges Expenditure,64510
Executives Management,Communications,Support Service Recharges Income,-640250
Executives Management,Communications,"Grants, Contributions, Other Income ",-22000
ICT Services,Information Technology,Employee Costs,423400
ICT Services,Information Technology,Employee Costs,3021622
ICT Services,Information Technology,Employee Related,7465
ICT Services,Information Technology,Premise Related,4910
ICT Services,Information Technology,Transport Related,8190
ICT Services,Information Technology,Supplies and Services,34174
ICT Services,Information Technology,Support Service Recharges Expenditure,740900
ICT Services,Information Technology,Depreciation Charges and Revenue contribution to Capital,180960
ICT Services,Information Technology,Support Service Recharges Income,-4421660
ICT Services,IT - Combined Contracts,Supplies and Services,1525360
ICT Services,IT - Combined Contracts,Large Contract Areas,1000
ICT Services,IT - Combined Contracts,Support Service Recharges Income,-554890
ICT Services,IT - Combined Contracts,"Grants, Contributions, Other Income ",-971465
ICT Services,Communication Infastructure,Supplies and Services,4810
ICT Services,Communication Infastructure,Support Service Recharges Income,45190
ICT Services,Communication Infastructure,"Grants, Contributions, Other Income ",-50000
Finance Controls,Other Operating Expenditure,Supplies and Services,2384660
Finance Controls,Other Operating Expenditure,Large Contract Areas,8867750
Finance Controls,Other Operating Expenditure,Transfer Payments,760579
Finance Controls,Other Operating Expenditure,"Grants, Contributions, Other Income ",-327341
Finance Controls,Taxation and Non Specific Grant Income,"Grants, Contributions, Other Income ",-173266538
Finance Controls,Adjustments Between Accounting and Funding Bases,Depreciation Charges and Revenue contribution to Capital,-19655310
Finance Controls,Net Revenue Requirement - surplus/deficit,Appropriations from/to Earmarked Reserves,-498560
Other Services,Council Wide Corporate Management Costs,Support Service Recharges Expenditure,3973110
Other Services,Payment To Joint Authorities,Large Contract Areas,750980
Other Services,Payment To Joint Authorities,Support Service Recharges Expenditure,430
Other Services,Payment To Joint Authorities,"Grants, Contributions, Other Income ",-39500
Other Services,Council wide Finance/ Other Costs,Supplies and Services,244970
Other Services,Council wide Finance/ Other Costs,Supplies and Services,13047120
Other Services,Council wide Finance/ Other Costs,Support Service Recharges Expenditure,4260
Other Services,Council wide Finance/ Other Costs,Depreciation Charges and Revenue contribution to Capital,9190
Other Services,Council wide Finance/ Other Costs,"Grants, Contributions, Other Income ",-31500
Other Services,Council wide Finance/ Other Costs,Support Service Recharges Income,-306900
Other Services,Council wide Finance/ Other Costs,"Grants, Contributions, Other Income ",-12953400
Other Services,Members Services,Employee Costs,6420
Other Services,Members Services,Employee Costs,141130
Other Services,Members Services,Employee Related,3510
Other Services,Members Services,Transport Related,4500
Other Services,Members Services,Supplies and Services,762510
Other Services,Members Services,Support Service Recharges Expenditure,40410
Other Services,Members Services,Support Service Recharges Income,-958480
Loans,Loan Interest,Employee Costs,4308698
Loans,Loans-Debt Management,Premise Related,2000
Loans,Loans-Debt Management,Supplies and Services,18000
Loans,Loans-Debt Management,Transfer Payments,5000
Loans,Loans-Debt Management,Support Service Recharges Expenditure,83040
Loans,Investment Interest,"Grants, Contributions, Other Income ",-620000
Loans,Invest to Save - Prudential Borrowing,Employee Related,1996390
Loans,Invest to Save - Prudential Borrowing,Premise Related,1643290
Loans,Invest to Save - Prudential Borrowing,Transport Related,74966
Loans,Invest to Save - Prudential Borrowing,Supplies and Services,1578814
Integrated commissioning - children's,Integrated Commisioning,Employee Costs,201480
Integrated commissioning - children's,Integrated Commisioning,Employee Costs,1406610
Integrated commissioning - children's,Integrated Commisioning,Employee Related,1820
Integrated commissioning - children's,Integrated Commisioning,Premise Related,980
Integrated commissioning - children's,Integrated Commisioning,Transport Related,4040
Integrated commissioning - children's,Integrated Commisioning,Supplies and Services,4720
Integrated commissioning - children's,Integrated Commisioning,"Grants, Contributions, Other Income ",-104640
Integrated commissioning - children's,Transformation Plan - grant funding,Large Contract Areas,459776
Integrated commissioning - children's,Transformation Plan - grant funding,"Grants, Contributions, Other Income ",-278000
Integrated commissioning - children's,Domestic Abuse,Large Contract Areas,235640
Integrated commissioning - children's,Domestic Abuse,"Grants, Contributions, Other Income ",-64900
Integrated commissioning - children's,CYP Commissioned Services,Supplies and Services,234938
Integrated commissioning - children's,CYP Commissioned Services,Large Contract Areas,4757143
Integrated commissioning - children's,CYP Commissioned Services,Depreciation Charges and Revenue contribution to Capital,6270
Integrated commissioning - children's,CYP Commissioned Services,"Grants, Contributions, Other Income ",-534782
Integrated commissioning - children's,Disabled Childrens Team,Employee Costs,62490
Integrated commissioning - children's,Disabled Childrens Team,Employee Costs,435635
Integrated commissioning - children's,Disabled Childrens Team,Transport Related,13790
Integrated commissioning - children's,Disabled Childrens Team,Supplies and Services,53340
Integrated commissioning - children's,Disabled Childrens Team,Large Contract Areas,23530
Integrated commissioning - children's,Disabled Childrens Team,"Grants, Contributions, Other Income ",-168380
Integrated commissioning - children's,Short Breaks,Employee Costs,5880
Integrated commissioning - children's,Short Breaks,Employee Costs,40990
Integrated commissioning - children's,Short Breaks,Transport Related,200
Integrated commissioning - children's,Short Breaks,Supplies and Services,6611
Integrated commissioning - children's,Short Breaks,Large Contract Areas,442420
Integrated commissioning - children's,Short Breaks,Transfer Payments,420000
Integrated commissioning - children's,Short Breaks,"Grants, Contributions, Other Income ",-100000
Integrated commissioning - children's,Childrens Safeguarding Unit,Employee Costs,106040
Integrated commissioning - children's,Childrens Safeguarding Unit,Employee Costs,981057
Integrated commissioning - children's,Childrens Safeguarding Unit,Employee Related,100
Integrated commissioning - children's,Childrens Safeguarding Unit,Premise Related,1000
Integrated commissioning - children's,Childrens Safeguarding Unit,Transport Related,8865
Integrated commissioning - children's,Childrens Safeguarding Unit,Supplies and Services,6658
Integrated commissioning - children's,Childrens Safeguarding Unit,Large Contract Areas,3080
Integrated commissioning - children's,Childrens Safeguarding Unit,"Grants, Contributions, Other Income ",-5500
Integrated commissioning - children's,Net Charge To General Rate Fund,Appropriations from/to Earmarked Reserves,-251646
Public Health,Public Health Staffing costs,Employee Costs,878700
Public Health,Public Health Staffing costs,Supplies and Services,487326
Public Health,Public Health Staffing costs,Support Service Recharges Expenditure,207580
Public Health,Public Health Staffing costs,Internal Recharge Expenditure,80800
Public Health,Public Health Staffing costs,"Grants, Contributions, Other Income ",-13619280
Public Health,Substance Misuse,Large Contract Areas,3000460
Public Health,Substance Misuse,"Grants, Contributions, Other Income ",-134016
Public Health,Sexual Health,Large Contract Areas,1559650
Public Health,Obesity,Supplies and Services,178010
Public Health,Obesity,Large Contract Areas,285000
Public Health,Obesity,"Grants, Contributions, Other Income ",-178010
Public Health,Smoking & Tobacco,Large Contract Areas,482500
Public Health,Other Public Health,Supplies and Services,540000
Public Health,Other Public Health,Large Contract Areas,24830
Public Health,Other Public Health,Depreciation Charges and Revenue contribution to Capital,3500
Public Health,Other Public Health,"Grants, Contributions, Other Income ",-15500
Public Health,COVID19 - outbreak management,Employee Costs,368564
Public Health,COVID19 - outbreak management,Transport Related,-1582
Public Health,COVID19 - outbreak management,Supplies and Services,5780996
Public Health,COVID19 - outbreak management,Large Contract Areas,43981
Public Health,COVID19 - outbreak management,"Grants, Contributions, Other Income ",-2135370
Public Health,Staying Well Project,Supplies and Services,215470
Public Health,Children / Young People's Public Health (incl 0-5),Supplies and Services,100000
Public Health,Children / Young People's Public Health (incl 0-5),Large Contract Areas,4489790
Public Health,Active Travel,Employee Costs,13660
Public Health,Active Travel,Support Service Recharges Expenditure,9140
Public Health,Active Travel,"Grants, Contributions, Other Income ",-13700
Public Health,Public Health Intelligence,Large Contract Areas,15000
Public Health,Bikeability,Employee Costs,7020
Public Health,Bikeability,Employee Costs,70170
Public Health,Bikeability,Transport Related,320
Public Health,Bikeability,Supplies and Services,6650
Public Health,Bikeability,"Grants, Contributions, Other Income ",-77140
Public Health,School Crossing Patrols,Support Service Recharges Expenditure,121620
Public Health,Contrib to cross Council budget savings,Supplies and Services,1425220
Public Health,Contrib to cross Council budget savings,"Grants, Contributions, Other Income ",-800000
Public Health,Rate Requirement,Appropriations from/to Earmarked Reserves,-4102889
Adult Health & Social Care,Heatherstones,Employee Costs,34450
Adult Health & Social Care,Heatherstones,Employee Costs,237530
Adult Health & Social Care,Heatherstones,Employee Related,250
Adult Health & Social Care,Heatherstones,Premise Related,95710
Adult Health & Social Care,Heatherstones,Transport Related,210
Adult Health & Social Care,Heatherstones,Supplies and Services,85640
Adult Health & Social Care,Heatherstones,"Grants, Contributions, Other Income ",-417230
Adult Health & Social Care,Ferney Lee HOP,Premise Related,65775
Adult Health & Social Care,Ferney Lee HOP,Transport Related,330
Adult Health & Social Care,Ferney Lee HOP,Depreciation Charges and Revenue contribution to Capital,127600
Adult Health & Social Care,Mytholm Meadows Extra Care Scheme,Employee Costs,45740
Adult Health & Social Care,Mytholm Meadows Extra Care Scheme,Employee Costs,324310
Adult Health & Social Care,Mytholm Meadows Extra Care Scheme,Supplies and Services,3090
Adult Health & Social Care,Mytholm Meadows Extra Care Scheme,"Grants, Contributions, Other Income ",-75500
Adult Health & Social Care,Clement Court Extra Care Scheme,Employee Costs,46840
Adult Health & Social Care,Clement Court Extra Care Scheme,Employee Costs,332060
Adult Health & Social Care,Clement Court Extra Care Scheme,Transport Related,1020
Adult Health & Social Care,Clement Court Extra Care Scheme,Supplies and Services,3270
Adult Health & Social Care,Clement Court Extra Care Scheme,"Grants, Contributions, Other Income ",-75500
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Employee Costs,6750
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Employee Costs,47110
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Transport Related,1020
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Supplies and Services,168490
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),Depreciation Charges and Revenue contribution to Capital,19100
Adult Health & Social Care,SIT & HC Management (Prevention & Early Help),"Grants, Contributions, Other Income ",-216620
Adult Health & Social Care,Central Halifax Reablement Teams SIT,Employee Costs,130340
Adult Health & Social Care,Central Halifax Reablement Teams SIT,Employee Costs,891850
Adult Health & Social Care,Central Halifax Reablement Teams SIT,Transport Related,37650
Adult Health & Social Care,Central Halifax Reablement Teams SIT,Supplies and Services,7440
Adult Health & Social Care,Central Halifax Reablement Teams SIT,"Grants, Contributions, Other Income ",-936940
Adult Health & Social Care,Lower Valley HC Reablement Teams SIT,Employee Costs,59510
Adult Health & Social Care,Lower Valley HC Reablement Teams SIT,Employee Costs,407210
Adult Health & Social Care,Lower Valley HC Reablement Teams SIT,Transport Related,15800
Adult Health & Social Care,Lower Valley HC Reablement Teams SIT,Supplies and Services,6310
Adult Health & Social Care,Lower Valley HC Reablement Teams SIT,"Grants, Contributions, Other Income ",-429320
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Employee Costs,56800
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Employee Costs,388770
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Employee Related,100
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Transport Related,22580
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,Supplies and Services,3630
Adult Health & Social Care,Upper Valley HC Reablement Teams SIT,"Grants, Contributions, Other Income ",-415080
Adult Health & Social Care,Support In Mind (Dementia Service),Employee Costs,49670
Adult Health & Social Care,Support In Mind (Dementia Service),Employee Costs,339870
Adult Health & Social Care,Support In Mind (Dementia Service),Transport Related,23860
Adult Health & Social Care,Support In Mind (Dementia Service),Supplies and Services,2710
Adult Health & Social Care,Out of Hours Home Care SIT,Employee Costs,59760
Adult Health & Social Care,Out of Hours Home Care SIT,Employee Costs,408820
Adult Health & Social Care,Out of Hours Home Care SIT,Transport Related,1150
Adult Health & Social Care,Out of Hours Home Care SIT,Supplies and Services,5950
Adult Health & Social Care,Out of Hours Home Care SIT,"Grants, Contributions, Other Income ",-18000
Adult Health & Social Care,Crisis Intervention Team CIT (prev Rapid Response),Employee Costs,14440
Adult Health & Social Care,Crisis Intervention Team CIT (prev Rapid Response),Employee Costs,98640
Adult Health & Social Care,Crisis Intervention Team CIT (prev Rapid Response),Transport Related,6470
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Employee Costs,321870
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Employee Costs,2117700
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Employee Related,1350
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Premise Related,53220
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Premise Related,22300
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Transport Related,900
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Transport Related,14640
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Supplies and Services,73240
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Support Service Recharges Expenditure,319650
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,Depreciation Charges and Revenue contribution to Capital,92230
Adult Health & Social Care,In-House Integrated Day Services - OP/LD,"Grants, Contributions, Other Income ",-827910
Adult Health & Social Care,Budget Council Savings 19/20 - In-House Provision,Supplies and Services,-99420
Adult Health & Social Care,Purchased Day Opportunities Learning Disabilities,Large Contract Areas,2140145
Adult Health & Social Care,Purchased Day Opportunities Learning Disabilities,"Grants, Contributions, Other Income ",-326970
Adult Health & Social Care,ILST,Employee Costs,40650
Adult Health & Social Care,ILST,Employee Costs,279560
Adult Health & Social Care,ILST,Employee Related,30
Adult Health & Social Care,ILST,Transport Related,13740
Adult Health & Social Care,ILST,Supplies and Services,680
Adult Health & Social Care,Flutterbites Cafe - LD Day Opportunities,Employee Costs,11440
Adult Health & Social Care,Flutterbites Cafe - LD Day Opportunities,Employee Costs,80868
Adult Health & Social Care,Flutterbites Cafe - LD Day Opportunities,Premise Related,3370
Adult Health & Social Care,Flutterbites Cafe - LD Day Opportunities,Supplies and Services,33772
Adult Health & Social Care,Flutterbites Cafe - LD Day Opportunities,"Grants, Contributions, Other Income ",-70000
Adult Health & Social Care,Laura Mitchell Centre Cafe,Employee Costs,4670
Adult Health & Social Care,Laura Mitchell Centre Cafe,Employee Costs,32220
Adult Health & Social Care,Laura Mitchell Centre Cafe,Supplies and Services,15720
Adult Health & Social Care,Laura Mitchell Centre Cafe,"Grants, Contributions, Other Income ",-28960
Adult Health & Social Care,Learning Disabilities College Transport,"Grants, Contributions, Other Income ",-42650
Adult Health & Social Care,Lyndhurst,Employee Costs,27260
Adult Health & Social Care,Lyndhurst,Employee Costs,188790
Adult Health & Social Care,Lyndhurst,Premise Related,23880
Adult Health & Social Care,Lyndhurst,Supplies and Services,320
Adult Health & Social Care,Lyndhurst,Depreciation Charges and Revenue contribution to Capital,19620
Adult Health & Social Care,Lyndhurst,"Grants, Contributions, Other Income ",-68000
Adult Health & Social Care,Housing Support Services (Misg),Employee Costs,9800
Adult Health & Social Care,Housing Support Services (Misg),Employee Costs,69870
Adult Health & Social Care,Housing Support Services (Misg),Premise Related,1920
Adult Health & Social Care,Housing Support Services (Misg),Transport Related,1150
Adult Health & Social Care,Housing Support Services (Misg),Supplies and Services,17150
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Employee Costs,23900
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Employee Costs,170210
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Employee Related,1100
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Premise Related,23960
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Transport Related,1000
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Transport Related,300
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Supplies and Services,20630
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),Depreciation Charges and Revenue contribution to Capital,30470
Adult Health & Social Care,Halifax Inclusion Services ( Mental Health),"Grants, Contributions, Other Income ",-128600
Adult Health & Social Care,Shared Lives,Employee Costs,16620
Adult Health & Social Care,Shared Lives,Employee Costs,115480
Adult Health & Social Care,Shared Lives,Transport Related,1610
Adult Health & Social Care,Shared Lives,Supplies and Services,6720
Adult Health & Social Care,Shared Lives,Large Contract Areas,419790
Adult Health & Social Care,Shared Lives,"Grants, Contributions, Other Income ",-49740
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Employee Costs,66750
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Employee Costs,570440
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Employee Related,50
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Premise Related,50920
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Premise Related,8480
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Transport Related,450
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),Supplies and Services,25880
Adult Health & Social Care,SHARE (Supported House and Respite Emergency),"Grants, Contributions, Other Income ",-167530
Adult Health & Social Care,Higgins Close,Premise Related,11620
Adult Health & Social Care,Lower Valley Day Centre,Premise Related,3500
Adult Health & Social Care,Royd Square Special Care Unit,Premise Related,2250
Housing Services,Housing Service Wide Costs,Supplies and Services,900
Housing Services,Housing Service Wide Costs,Support Service Recharges Expenditure,266200
Housing Services,Housing Service Wide Costs,Support Service Recharges Income,-67110
Housing Services,Housing Strategy,Employee Costs,10020
Housing Services,Housing Strategy,Employee Costs,133810
Housing Services,Housing Strategy,Transport Related,240
Housing Services,Housing Strategy,Support Service Recharges Expenditure,4700
Housing Services,Home Improvement Service,Employee Costs,29220
Housing Services,Home Improvement Service,Employee Costs,201260
Housing Services,Home Improvement Service,Employee Related,1050
Housing Services,Home Improvement Service,Premise Related,2040
Housing Services,Home Improvement Service,Premise Related,4540
Housing Services,Home Improvement Service,Transport Related,3930
Housing Services,Home Improvement Service,Supplies and Services,177013
Housing Services,Home Improvement Service,Support Service Recharges Expenditure,14650
Housing Services,Home Improvement Service,"Grants, Contributions, Other Income ",-217643
Housing Services,Acorns Refuge Provision,Employee Costs,41620
Housing Services,Acorns Refuge Provision,Employee Costs,281050
Housing Services,Acorns Refuge Provision,Premise Related,207820
Housing Services,Acorns Refuge Provision,Transport Related,2400
Housing Services,Acorns Refuge Provision,Supplies and Services,6110
Housing Services,Acorns Refuge Provision,"Grants, Contributions, Other Income ",-309390
Housing Services,Leasehold Flats,Employee Costs,8430
Housing Services,Leasehold Flats,Employee Costs,91870
Housing Services,Leasehold Flats,Premise Related,116920
Housing Services,Leasehold Flats,Transport Related,1000
Housing Services,Leasehold Flats,Supplies and Services,377390
Housing Services,Leasehold Flats,Support Service Recharges Expenditure,7130
Housing Services,Leasehold Flats,"Grants, Contributions, Other Income ",-502170
Housing Services,Rough Sleeping Initiative,Employee Costs,35000
Housing Services,Rough Sleeping Initiative,Premise Related,10000
Housing Services,Rough Sleeping Initiative,Supplies and Services,304180
Housing Services,Rough Sleeping Initiative,"Grants, Contributions, Other Income ",-349180
Housing Services,Housing Advice and Homelessness,Employee Costs,30510
Housing Services,Housing Advice and Homelessness,Employee Costs,219634
Housing Services,Housing Advice and Homelessness,Employee Related,950
Housing Services,Housing Advice and Homelessness,Transport Related,420
Housing Services,Housing Advice and Homelessness,Supplies and Services,126560
Housing Services,Housing Advice and Homelessness,Support Service Recharges Expenditure,19970
Housing Services,Environmental Management Team,Employee Costs,9740
Housing Services,Environmental Management Team,Employee Costs,118629
Housing Services,Environmental Management Team,Employee Related,20
Housing Services,Environmental Management Team,Transport Related,870
Housing Services,Environmental Management Team,Supplies and Services,45440
Housing Services,Environmental Management Team,Support Service Recharges Expenditure,95020
Housing Services,Environmental Management Team,"Grants, Contributions, Other Income ",-22000
Housing Services,Housing Regeneration & Development,Support Service Recharges Expenditure,110
Housing Services,Maintenance of Land,Premise Related,520
Housing Services,Maintenance of Land,Premise Related,2920
Housing Services,Maintenance of Land,Supplies and Services,60
Housing Services,Maintenance of Land,Depreciation Charges and Revenue contribution to Capital,920
Housing Services,Maintenance of Land,"Grants, Contributions, Other Income ",-14920
Housing Services,Ryburn House,Employee Costs,45180
Housing Services,Ryburn House,Employee Costs,344280
Housing Services,Ryburn House,Employee Related,1320
Housing Services,Ryburn House,Premise Related,29780
Housing Services,Ryburn House,Premise Related,16000
Housing Services,Ryburn House,Transport Related,2120
Housing Services,Ryburn House,Supplies and Services,13540
Housing Services,Ryburn House,Support Service Recharges Expenditure,86030
Housing Services,Ryburn House,Depreciation Charges and Revenue contribution to Capital,38560
Housing Services,Ryburn House,"Grants, Contributions, Other Income ",-205370
Housing Services,Housing Pipeline,Employee Costs,24830
Housing Services,Housing Pipeline,Supplies and Services,26000
Housing Services,Housing Pipeline,"Grants, Contributions, Other Income ",-50830
Housing Services,Housing and Environment Management,Employee Costs,12470
Housing Services,Housing and Environment Management,Employee Costs,78219
Housing Services,Syrian settlement account,Employee Costs,270
Housing Services,Syrian settlement account,Employee Costs,146820
Housing Services,Syrian settlement account,Transport Related,2500
Housing Services,Syrian settlement account,Supplies and Services,86170
Housing Services,Syrian settlement account,"Grants, Contributions, Other Income ",-233670
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Employee Costs,348890
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Employee Costs,1771287
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Premise Related,7000
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Transport Related,19300
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Supplies and Services,111320
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Support Service Recharges Expenditure,197980
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Depreciation Charges and Revenue contribution to Capital,3140
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,Support Service Recharges Income,-2286120
Corporate Asset and Facilities Management,Corporate Asset & Facilities Management Team,"Grants, Contributions, Other Income ",-137833
Corporate Asset and Facilities Management,Corporate Projects Team,Employee Costs,115710
Corporate Asset and Facilities Management,Corporate Projects Team,Employee Costs,784120
Corporate Asset and Facilities Management,Corporate Projects Team,Transport Related,2520
Corporate Asset and Facilities Management,Corporate Projects Team,Supplies and Services,11820
Corporate Asset and Facilities Management,Corporate Projects Team,Support Service Recharges Expenditure,318320
Corporate Asset and Facilities Management,Corporate Projects Team,"Grants, Contributions, Other Income ",-1247510
Corporate Asset and Facilities Management,Corporate Projects - CYP Capital Team,Employee Costs,112000
Corporate Asset and Facilities Management,Corporate Projects - CYP Capital Team,"Grants, Contributions, Other Income ",-112000
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Employee Costs,122760
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Employee Costs,1234500
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Premise Related,41230
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Transport Related,8700
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Supplies and Services,11140
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Support Service Recharges Expenditure,500580
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Depreciation Charges and Revenue contribution to Capital,16290
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),Support Service Recharges Income,-1905120
Corporate Asset and Facilities Management,CAFM - Support Service Structure (2015/16),"Grants, Contributions, Other Income ",-35960
Corporate Asset and Facilities Management,Towngate PC's,Premise Related,500
Corporate Asset and Facilities Management,Bridge End PC's,Premise Related,990
Corporate Asset and Facilities Management,Townfield Lane PC's,Premise Related,740
Corporate Asset and Facilities Management,George Sq PC's,Premise Related,1990
Corporate Asset and Facilities Management,Town Hall Sq Public Conv,Premise Related,1780
Corporate Asset and Facilities Management,Brook St PC's,Premise Related,2285
Corporate Asset and Facilities Management,Luddenden Lane PC's,Premise Related,2060
Corporate Asset and Facilities Management,Midgehole PC's,Premise Related,1730
Corporate Asset and Facilities Management,New Rd Pc's,Premise Related,3040
Corporate Asset and Facilities Management,Brig Royd PC's,Premise Related,1320
Corporate Asset and Facilities Management,Thornton Sq PC's,Premise Related,2815
Corporate Asset and Facilities Management,Valley Rd PC's,Premise Related,2170
Corporate Asset and Facilities Management,Sowerby Bridge PC's,Premise Related,1050
Corporate Asset and Facilities Management,Todmorden College,Premise Related,103055
Corporate Asset and Facilities Management,Todmorden College,Supplies and Services,1290
Corporate Asset and Facilities Management,Todmorden College,Depreciation Charges and Revenue contribution to Capital,359050
Corporate Asset and Facilities Management,Todmorden College,Support Service Recharges Income,-463390
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Premise Related,186320
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Premise Related,2000
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Supplies and Services,7500
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Support Service Recharges Expenditure,129620
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Depreciation Charges and Revenue contribution to Capital,1130
Corporate Asset and Facilities Management,Halifax Customer First - 19 Horton Street,Support Service Recharges Income,-344840
Corporate Asset and Facilities Management,Repairs,Premise Related,1781770
Corporate Asset and Facilities Management,Miscellaneous CAFM,Premise Related,134730
Corporate Asset and Facilities Management,Miscellaneous CAFM,Supplies and Services,75600
Corporate Asset and Facilities Management,Miscellaneous CAFM,Transfer Payments,17700
Corporate Asset and Facilities Management,Miscellaneous CAFM,Support Service Recharges Income,-171930
Corporate Asset and Facilities Management,Town Hall,Premise Related,90845
Corporate Asset and Facilities Management,Town Hall,Supplies and Services,12925
Corporate Asset and Facilities Management,Town Hall,Support Service Recharges Expenditure,102060
Corporate Asset and Facilities Management,Town Hall,Depreciation Charges and Revenue contribution to Capital,18920
Corporate Asset and Facilities Management,Town Hall,Support Service Recharges Income,-252160
Corporate Asset and Facilities Management,Town Hall,"Grants, Contributions, Other Income ",-360
Corporate Asset and Facilities Management,Westgate House,Premise Related,366500
Corporate Asset and Facilities Management,Westgate House,Premise Related,2700
Corporate Asset and Facilities Management,Westgate House,Supplies and Services,7500
Corporate Asset and Facilities Management,Westgate House,Support Service Recharges Expenditure,276420
